variavel,peso_saaty,peso_ahp
densidade_hec,1.0,0.04712726530362872
Startups,1.0787799661267128,0.050839949667893194
UsoeOcupacao,1.4580704588240891,0.0687148733443865
EconomiaUrbana,9.0,0.42414538773265836
Inovacao,1.0392412684852987,0.04897659897438632
MobilidadeUrbana,7.643047451542079,0.3601959249770469
