,SQ,Ano,EstagioClusterizacao,Predicted_Class,Class_0_Prob,Class_1_Prob,Class_2_Prob,Class_3_Prob
18609,101272,2025,1,1,0.00048373968,0.99951553,7.5337584e-07,6.5681816e-10
18610,101273,2025,1,1,0.0006479341,0.99934834,3.6819104e-06,1.5461586e-09
18611,101274,2025,1,1,0.0005352658,0.99946326,1.5058205e-06,1.0660837e-09
18612,101275,2025,1,1,0.0009955455,0.9990042,2.6386664e-07,6.4089084e-10
18613,101276,2025,1,1,0.0007010104,0.9992938,5.2207615e-06,1.7674074e-09
18614,101278,2025,1,1,0.021653915,0.97834516,9.08989e-07,3.502958e-09
18615,101279,2025,1,1,0.00117652,0.99882156,1.887394e-06,6.091908e-10
18616,101280,2025,1,1,0.00057893526,0.9994185,2.5567545e-06,9.217768e-10
18617,101281,2025,1,1,0.0007116566,0.9992804,7.91135e-06,1.0773201e-09
18618,101282,2025,1,1,0.0006555241,0.99933857,5.9165864e-06,1.0934937e-09
18619,101284,2025,1,1,0.0008189962,0.99917287,8.136859e-06,1.5497309e-09
18620,101285,2025,1,1,0.0012036593,0.9987822,1.41683095e-05,1.7205828e-09
18621,101286,2025,1,1,0.001254091,0.998716,2.9913654e-05,1.0961024e-09
18622,101287,2025,1,1,0.00091395946,0.999076,1.0070957e-05,1.807929e-09
18623,101288,2025,1,1,0.0009519547,0.9990396,8.474288e-06,1.739139e-09
18624,101289,2025,1,1,0.0010178721,0.99897337,8.828465e-06,1.7220054e-09
18625,101290,2025,1,1,0.0011142403,0.99887675,9.053808e-06,1.5778047e-09
18626,101291,2025,1,1,0.0031700528,0.99681866,1.1256609e-05,7.9701407e-10
18627,101292,2025,1,1,0.002685141,0.9973018,1.3046207e-05,9.001911e-10
18628,101293,2025,1,1,0.0024937675,0.9974923,1.3972468e-05,9.564829e-10
18629,101294,2025,1,1,0.0024109136,0.99757487,1.4195395e-05,9.623633e-10
18630,101295,2025,1,1,0.005143311,0.9948372,1.9406792e-05,3.5752243e-10
18631,101296,2025,1,1,0.0020314152,0.9979547,1.3855696e-05,9.957352e-10
18632,101297,2025,1,1,0.005755937,0.9942357,8.388227e-06,6.0576844e-10
18633,101298,2025,1,1,0.02921306,0.97078526,1.6161639e-06,1.3940098e-10
18634,101299,2025,0,0,0.73921794,0.26078203,3.8044923e-09,1.9263556e-11
18635,101300,2025,0,0,0.5931944,0.4068056,1.0145537e-08,8.803794e-12
18636,101301,2025,1,1,0.2295129,0.770487,1.0671682e-07,1.3267322e-11
18637,101302,2025,0,0,0.5164154,0.4835846,1.670351e-08,1.0480322e-11
18638,101303,2025,0,0,0.78566355,0.21433645,1.5910777e-09,1.3914398e-11
18639,101304,2025,0,0,0.78437316,0.21562684,1.3053871e-09,5.0242705e-12
18640,101305,2025,0,0,0.84206504,0.15793493,8.7896845e-10,1.2926923e-11
18641,101306,2025,0,0,0.9443549,0.055645145,3.757671e-10,1.4563097e-11
18642,101308,2025,0,0,0.9955701,0.004429953,2.2529392e-11,8.675224e-12
18643,101309,2025,0,0,0.99744,0.0025600549,9.9847e-12,8.702798e-12
18644,101310,2025,0,0,0.9988422,0.0011578796,3.543384e-12,4.6229427e-12
18645,101311,2025,0,0,0.997419,0.0025810467,1.2161411e-11,6.4285435e-12
18646,101312,2025,0,0,0.9992748,0.0007251902,2.711025e-12,3.932363e-12
18647,101313,2025,0,0,0.99958414,0.00041581073,3.838548e-12,4.0223337e-12
18648,101314,2025,0,0,0.99954575,0.00045417887,5.9632017e-12,4.04068e-12
18649,101315,2025,0,0,0.99964666,0.00035331107,8.486789e-12,3.422589e-12
18650,101316,2025,0,0,0.9997342,0.00026574364,6.026028e-12,3.0800492e-12
18651,101317,2025,0,0,0.99981433,0.0001857126,5.2315513e-12,2.8844897e-12
18652,101318,2025,0,0,0.9996408,0.00035915786,1.03351355e-11,3.5505624e-12
18653,101319,2025,0,0,0.9998714,0.00012858733,3.437878e-12,3.0487553e-12
18654,101320,2025,0,0,0.99996674,3.3208144e-05,2.7285296e-14,3.044894e-10
18655,101321,2025,0,0,0.9999013,9.864394e-05,1.8644513e-12,2.7539778e-12
18656,101322,2025,0,0,0.9998518,0.00014819075,4.1276314e-12,5.0326084e-12
18657,101323,2025,0,0,0.999869,0.000130936,2.7970697e-12,1.9519395e-12
18658,101324,2025,0,0,0.9997795,0.00022054749,1.7123145e-12,2.4176032e-12
18659,101325,2025,0,0,0.9996275,0.00037248584,7.606169e-13,2.363755e-12
18660,101326,2025,0,0,0.9991628,0.000837212,2.595543e-12,2.8036156e-12
18661,101327,2025,0,0,0.9993529,0.0006471395,2.045526e-12,3.7345656e-12
18662,101328,2025,0,0,0.9994568,0.00054319855,1.4449467e-12,3.1106341e-12
18663,101329,2025,0,0,0.999419,0.0005811017,1.3409535e-12,2.9111227e-12
18664,101330,2025,0,0,0.99818194,0.001818047,5.1543284e-12,6.9797007e-12
18665,101331,2025,0,0,0.99808985,0.0019101322,5.2242416e-12,4.757343e-12
18666,101332,2025,0,0,0.9980489,0.0019511101,6.496052e-12,5.8045717e-12
18667,101333,2025,0,0,0.99530715,0.0046928255,1.9144696e-11,8.0874855e-12
18668,101334,2025,0,0,0.99258053,0.0074194865,3.4165632e-11,1.2642502e-11
18669,101335,2025,0,0,0.9607112,0.03928884,1.882303e-10,1.5212298e-11
