epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.8324000239372253,0.6248596906661987,0.001,0.9158955216407776,0.3400841951370239
1,0.8885458111763,0.41017410159111023,0.001,0.9340788722038269,0.29673081636428833
2,0.8961708545684814,0.3898175060749054,0.001,0.9484548568725586,0.26634010672569275
3,0.9010916948318481,0.3762631118297577,0.001,0.948591411113739,0.2455115169286728
4,0.9019791483879089,0.36865755915641785,0.001,0.9433839917182922,0.2500983476638794
5,0.9038958549499512,0.36068156361579895,0.001,0.9490011930465698,0.23114758729934692
6,0.9040958285331726,0.3577105402946472,0.001,0.9415741562843323,0.25962579250335693
7,0.9050624966621399,0.3534766733646393,0.001,0.9479426145553589,0.2349851280450821
8,0.9056916832923889,0.35133469104766846,0.001,0.9600648880004883,0.20979933440685272
9,0.9058374762535095,0.34957510232925415,0.001,0.9432303309440613,0.24576473236083984
10,0.9056875109672546,0.3467949628829956,0.001,0.949701189994812,0.22385193407535553
11,0.9067249894142151,0.34513595700263977,0.001,0.9531842470169067,0.2102952003479004
12,0.9073083400726318,0.34329473972320557,0.001,0.947635293006897,0.224201500415802
13,0.9315249919891357,0.26519304513931274,0.00020000001,0.9669796824455261,0.15935900807380676
14,0.9375125169754028,0.23128405213356018,0.00020000001,0.9596892595291138,0.15330170094966888
15,0.9387208223342896,0.21797211468219757,0.00020000001,0.9649649858474731,0.1374559849500656
16,0.9399916529655457,0.21217167377471924,0.00020000001,0.9590916633605957,0.1473829448223114
17,0.9394708275794983,0.20962722599506378,0.00020000001,0.960081934928894,0.13806791603565216
18,0.9406708478927612,0.20534048974514008,0.00020000001,0.9644015431404114,0.13953348994255066
19,0.9403916597366333,0.2040310651063919,0.00020000001,0.9627454280853271,0.13555549085140228
20,0.940554141998291,0.20398595929145813,0.00020000001,0.9658527970314026,0.1337006390094757
21,0.9418208599090576,0.20150823891162872,0.00020000001,0.9643503427505493,0.12921878695487976
22,0.9408875107765198,0.20239494740962982,0.00020000001,0.9596892595291138,0.13818179070949554
23,0.941545844078064,0.2025032490491867,0.00020000001,0.9658527970314026,0.13456764817237854
24,0.9421125054359436,0.20122797787189484,0.00020000001,0.9647942781448364,0.12773360311985016
25,0.9427208304405212,0.19956301152706146,0.00020000001,0.9597063064575195,0.14306089282035828
26,0.9419916868209839,0.2003953903913498,0.00020000001,0.9646747708320618,0.12694434821605682
27,0.9431874752044678,0.19684474170207977,0.00020000001,0.9603551030158997,0.14097465574741364
28,0.9428041577339172,0.19972176849842072,0.00020000001,0.9616698026657104,0.13826067745685577
29,0.9431666731834412,0.19885589182376862,0.00020000001,0.9561209082603455,0.153166264295578
30,0.9424958229064941,0.19903188943862915,0.00020000001,0.9511865973472595,0.16523802280426025
31,0.9514791369438171,0.17510844767093658,4.0000003e-05,0.9665528535842896,0.12507480382919312
32,0.954716682434082,0.1652921438217163,4.0000003e-05,0.9669455289840698,0.12118051946163177
33,0.9550833106040955,0.16155144572257996,4.0000003e-05,0.9684138894081116,0.11590439081192017
34,0.9561708569526672,0.1584533005952835,4.0000003e-05,0.967287003993988,0.11486594378948212
35,0.9557958245277405,0.15572072565555573,4.0000003e-05,0.9702748656272888,0.11239801347255707
36,0.9560624957084656,0.15389356017112732,4.0000003e-05,0.971162736415863,0.102218858897686
37,0.9558666944503784,0.1530487984418869,4.0000003e-05,0.9662455320358276,0.11574341356754303
38,0.9563541412353516,0.15092195570468903,4.0000003e-05,0.9638210535049438,0.11741392314434052
39,0.9562833309173584,0.14941899478435516,4.0000003e-05,0.9678162932395935,0.10892058163881302
40,0.9574958086013794,0.14636805653572083,4.0000003e-05,0.9704968333244324,0.1039745956659317
41,0.958549976348877,0.14305546879768372,8.000001e-06,0.9696943759918213,0.10211644321680069
42,0.9595875144004822,0.1404457688331604,8.000001e-06,0.9692675471305847,0.10365191102027893
43,0.9605833292007446,0.1389775276184082,8.000001e-06,0.9688407182693481,0.10559100657701492
44,0.9598374962806702,0.13996052742004395,8.000001e-06,0.9699333906173706,0.10112980753183365
45,0.960854172706604,0.1362510770559311,8.000001e-06,0.971162736415863,0.0974578857421875
46,0.9606375098228455,0.13699063658714294,8.000001e-06,0.968601644039154,0.10494117438793182
47,0.9606791734695435,0.13714028894901276,8.000001e-06,0.9679528474807739,0.10615866631269455
48,0.960979163646698,0.13546091318130493,8.000001e-06,0.9686357975006104,0.10254564881324768
49,0.9609749913215637,0.13499808311462402,8.000001e-06,0.9691309332847595,0.1018267273902893
50,0.9620624780654907,0.13291941583156586,1.6000001e-06,0.9690797328948975,0.10296811163425446
51,0.9605875015258789,0.13505299389362335,1.6000001e-06,0.9693529009819031,0.10080790519714355
52,0.9610583186149597,0.13423675298690796,1.6000001e-06,0.9676967859268188,0.10532718896865845
53,0.9618916511535645,0.13282549381256104,1.6000001e-06,0.9699675440788269,0.10002481937408447
54,0.9614791870117188,0.13436804711818695,1e-06,0.9710090756416321,0.10049746930599213
55,0.9611791372299194,0.1330333799123764,1e-06,0.9705480337142944,0.09897714108228683
