loss,accuracy,val_loss,val_accuracy,lr
0.6248596906661987,0.8324000239372253,0.3400841951370239,0.9158955216407776,0.001
0.41017410159111023,0.8885458111763,0.29673081636428833,0.9340788722038269,0.001
0.3898175060749054,0.8961708545684814,0.26634010672569275,0.9484548568725586,0.001
0.3762631118297577,0.9010916948318481,0.2455115169286728,0.948591411113739,0.001
0.36865755915641785,0.9019791483879089,0.2500983476638794,0.9433839917182922,0.001
0.36068156361579895,0.9038958549499512,0.23114758729934692,0.9490011930465698,0.001
0.3577105402946472,0.9040958285331726,0.25962579250335693,0.9415741562843323,0.001
0.3534766733646393,0.9050624966621399,0.2349851280450821,0.9479426145553589,0.001
0.35133469104766846,0.9056916832923889,0.20979933440685272,0.9600648880004883,0.001
0.34957510232925415,0.9058374762535095,0.24576473236083984,0.9432303309440613,0.001
0.3467949628829956,0.9056875109672546,0.22385193407535553,0.949701189994812,0.001
0.34513595700263977,0.9067249894142151,0.2102952003479004,0.9531842470169067,0.001
0.34329473972320557,0.9073083400726318,0.224201500415802,0.947635293006897,0.001
0.26519304513931274,0.9315249919891357,0.15935900807380676,0.9669796824455261,0.00020000001
0.23128405213356018,0.9375125169754028,0.15330170094966888,0.9596892595291138,0.00020000001
0.21797211468219757,0.9387208223342896,0.1374559849500656,0.9649649858474731,0.00020000001
0.21217167377471924,0.9399916529655457,0.1473829448223114,0.9590916633605957,0.00020000001
0.20962722599506378,0.9394708275794983,0.13806791603565216,0.960081934928894,0.00020000001
0.20534048974514008,0.9406708478927612,0.13953348994255066,0.9644015431404114,0.00020000001
0.2040310651063919,0.9403916597366333,0.13555549085140228,0.9627454280853271,0.00020000001
0.20398595929145813,0.940554141998291,0.1337006390094757,0.9658527970314026,0.00020000001
0.20150823891162872,0.9418208599090576,0.12921878695487976,0.9643503427505493,0.00020000001
0.20239494740962982,0.9408875107765198,0.13818179070949554,0.9596892595291138,0.00020000001
0.2025032490491867,0.941545844078064,0.13456764817237854,0.9658527970314026,0.00020000001
0.20122797787189484,0.9421125054359436,0.12773360311985016,0.9647942781448364,0.00020000001
0.19956301152706146,0.9427208304405212,0.14306089282035828,0.9597063064575195,0.00020000001
0.2003953903913498,0.9419916868209839,0.12694434821605682,0.9646747708320618,0.00020000001
0.19684474170207977,0.9431874752044678,0.14097465574741364,0.9603551030158997,0.00020000001
0.19972176849842072,0.9428041577339172,0.13826067745685577,0.9616698026657104,0.00020000001
0.19885589182376862,0.9431666731834412,0.153166264295578,0.9561209082603455,0.00020000001
0.19903188943862915,0.9424958229064941,0.16523802280426025,0.9511865973472595,0.00020000001
0.17510844767093658,0.9514791369438171,0.12507480382919312,0.9665528535842896,4.0000003e-05
0.1652921438217163,0.954716682434082,0.12118051946163177,0.9669455289840698,4.0000003e-05
0.16155144572257996,0.9550833106040955,0.11590439081192017,0.9684138894081116,4.0000003e-05
0.1584533005952835,0.9561708569526672,0.11486594378948212,0.967287003993988,4.0000003e-05
0.15572072565555573,0.9557958245277405,0.11239801347255707,0.9702748656272888,4.0000003e-05
0.15389356017112732,0.9560624957084656,0.102218858897686,0.971162736415863,4.0000003e-05
0.1530487984418869,0.9558666944503784,0.11574341356754303,0.9662455320358276,4.0000003e-05
0.15092195570468903,0.9563541412353516,0.11741392314434052,0.9638210535049438,4.0000003e-05
0.14941899478435516,0.9562833309173584,0.10892058163881302,0.9678162932395935,4.0000003e-05
0.14636805653572083,0.9574958086013794,0.1039745956659317,0.9704968333244324,4.0000003e-05
0.14305546879768372,0.958549976348877,0.10211644321680069,0.9696943759918213,8.000001e-06
0.1404457688331604,0.9595875144004822,0.10365191102027893,0.9692675471305847,8.000001e-06
0.1389775276184082,0.9605833292007446,0.10559100657701492,0.9688407182693481,8.000001e-06
0.13996052742004395,0.9598374962806702,0.10112980753183365,0.9699333906173706,8.000001e-06
0.1362510770559311,0.960854172706604,0.0974578857421875,0.971162736415863,8.000001e-06
0.13699063658714294,0.9606375098228455,0.10494117438793182,0.968601644039154,8.000001e-06
0.13714028894901276,0.9606791734695435,0.10615866631269455,0.9679528474807739,8.000001e-06
0.13546091318130493,0.960979163646698,0.10254564881324768,0.9686357975006104,8.000001e-06
0.13499808311462402,0.9609749913215637,0.1018267273902893,0.9691309332847595,8.000001e-06
0.13291941583156586,0.9620624780654907,0.10296811163425446,0.9690797328948975,1.6000001e-06
0.13505299389362335,0.9605875015258789,0.10080790519714355,0.9693529009819031,1.6000001e-06
0.13423675298690796,0.9610583186149597,0.10532718896865845,0.9676967859268188,1.6000001e-06
0.13282549381256104,0.9618916511535645,0.10002481937408447,0.9699675440788269,1.6000001e-06
0.13436804711818695,0.9614791870117188,0.10049746930599213,0.9710090756416321,1e-06
0.1330333799123764,0.9611791372299194,0.09897714108228683,0.9705480337142944,1e-06
