loss,accuracy,val_loss,val_accuracy,lr
0.4994540512561798,0.8709916472434998,0.27487924695014954,0.923390805721283,0.001
0.3261064887046814,0.9079583287239075,0.181108295917511,0.9619259238243103,0.001
0.30949974060058594,0.9132791757583618,0.21158592402935028,0.9476694464683533,0.001
0.3014444410800934,0.9157541394233704,0.20644007623195648,0.9472426176071167,0.001
0.29314157366752625,0.9182666540145874,0.18917524814605713,0.9546013474464417,0.001
0.2885018289089203,0.919487476348877,0.18522614240646362,0.9495304822921753,0.001
0.22390955686569214,0.9375458359718323,0.13669292628765106,0.9654430747032166,0.00020000001
0.19883950054645538,0.9405708312988281,0.11946191638708115,0.9666382074356079,0.00020000001
0.19069480895996094,0.9423999786376953,0.11967373639345169,0.9671333432197571,0.00020000001
0.18476368486881256,0.9441624879837036,0.12342872470617294,0.9619259238243103,0.00020000001
0.1827692985534668,0.9442833065986633,0.10871439427137375,0.9699163436889648,0.00020000001
0.18068274855613708,0.9449666738510132,0.1160435676574707,0.9627283811569214,0.00020000001
0.17805500328540802,0.9461374878883362,0.1068015843629837,0.9673894643783569,0.00020000001
0.17627942562103271,0.94694584608078,0.11138884723186493,0.9691821932792664,0.00020000001
0.17361639440059662,0.9476875066757202,0.12214295566082001,0.963957667350769,0.00020000001
0.17200347781181335,0.9479374885559082,0.11583702266216278,0.968191921710968,0.00020000001
0.1700388789176941,0.9494875073432922,0.11805589497089386,0.9668601751327515,0.00020000001
0.14858509600162506,0.9575499892234802,0.09793111681938171,0.973587155342102,4.0000003e-05
0.1400316059589386,0.9596291780471802,0.10119948536157608,0.9727334976196289,4.0000003e-05
0.1363663375377655,0.9603458046913147,0.08891938626766205,0.9753457307815552,4.0000003e-05
0.13283894956111908,0.9606750011444092,0.08455783873796463,0.9762506484985352,4.0000003e-05
0.12888120114803314,0.9615041613578796,0.09039047360420227,0.9744408130645752,4.0000003e-05
0.12677757441997528,0.9616875052452087,0.08385416865348816,0.9754652380943298,4.0000003e-05
0.12662877142429352,0.961816668510437,0.08194121718406677,0.9772067666053772,4.0000003e-05
0.12206918001174927,0.9632166624069214,0.07953700423240662,0.9774116277694702,4.0000003e-05
0.12221302092075348,0.963058352470398,0.08805625885725021,0.9735018014907837,4.0000003e-05
0.12043998390436172,0.9634166955947876,0.07780200242996216,0.9767799377441406,4.0000003e-05
0.11835017055273056,0.964020848274231,0.07475355267524719,0.9786409139633179,4.0000003e-05
0.11772360652685165,0.9639291763305664,0.07862198352813721,0.9773604273796082,4.0000003e-05
0.11760546267032623,0.9642083048820496,0.08353816717863083,0.9748335480690002,4.0000003e-05
0.11631940305233002,0.9645583629608154,0.07894259691238403,0.975601851940155,4.0000003e-05
0.11378481984138489,0.9651416540145874,0.08367860317230225,0.9757043123245239,4.0000003e-05
0.10852615535259247,0.9671708345413208,0.0749664232134819,0.9780604243278503,8.000001e-06
0.10706236213445663,0.9672874808311462,0.07369563728570938,0.9781287312507629,8.000001e-06
0.10620635747909546,0.9678750038146973,0.07556892186403275,0.9772921204566956,8.000001e-06
0.106117382645607,0.9676166772842407,0.07442515343427658,0.9788287281990051,8.000001e-06
0.10528112202882767,0.9680041670799255,0.07302796095609665,0.978179931640625,8.000001e-06
0.10500086098909378,0.9680833220481873,0.07636391371488571,0.9769506454467773,8.000001e-06
0.10290718823671341,0.9684625267982483,0.07388796657323837,0.9774970412254333,8.000001e-06
0.10317490994930267,0.9686499834060669,0.07639353722333908,0.9775311350822449,8.000001e-06
0.1031217947602272,0.9688791632652283,0.07403045892715454,0.9775823950767517,8.000001e-06
0.1024431586265564,0.9689375162124634,0.07199487090110779,0.9779067635536194,1.6000001e-06
0.10296739637851715,0.9685916900634766,0.0734572485089302,0.9778555631637573,1.6000001e-06
0.1023414209485054,0.9688249826431274,0.07365120947360992,0.9781116843223572,1.6000001e-06
0.10160115361213684,0.9687625169754028,0.07215777784585953,0.97857266664505,1.6000001e-06
0.10093896836042404,0.969295859336853,0.06937510520219803,0.9793409705162048,1.6000001e-06
0.10140373557806015,0.9690958261489868,0.07355336844921112,0.9782994985580444,1.6000001e-06
0.10126450657844543,0.9692749977111816,0.0744788721203804,0.9775311350822449,1.6000001e-06
0.10135268419981003,0.969041645526886,0.07168561965227127,0.9784018993377686,1.6000001e-06
0.09969840943813324,0.9698749780654907,0.07158609479665756,0.9784531593322754,1.6000001e-06
0.10010972619056702,0.9697041511535645,0.07304298877716064,0.977975070476532,1e-06
0.10004900395870209,0.9697999954223633,0.07197213917970657,0.9782482385635376,1e-06
0.10013425350189209,0.9696875214576721,0.0735606774687767,0.9779238700866699,1e-06
0.10006794333457947,0.9696791768074036,0.07306598871946335,0.9782140851020813,1e-06
0.10030107200145721,0.9694958329200745,0.07576082646846771,0.9776507019996643,1e-06
0.09959404170513153,0.9695541858673096,0.0725628212094307,0.9787092208862305,1e-06
