,SQ,Ano,EstagioClusterizacao,Predicted_Class,Class_0_Prob,Class_1_Prob,Class_2_Prob,Class_3_Prob
20086,108034,2025,0,0,0.91974735,0.0802527,1.7086285e-10,3.272893e-12
20087,108035,2025,0,0,0.96688753,0.033112455,8.967344e-11,5.715076e-12
20088,108036,2025,0,0,0.8425996,0.15740046,5.287766e-10,5.7110553e-12
20089,108037,2025,0,0,0.7842979,0.2157021,1.1017097e-09,1.146844e-11
20090,108038,2025,0,0,0.96489334,0.035106648,6.335053e-11,2.7388437e-12
20091,108039,2025,0,0,0.98162353,0.018376542,1.7742153e-11,1.6172781e-12
20092,108040,2025,0,0,0.7681968,0.2318032,1.5032063e-09,1.2652025e-11
20093,108041,2025,0,1,0.49085447,0.50914556,5.338598e-09,2.4698622e-11
20094,108042,2025,0,0,0.72173005,0.2782699,1.0511523e-09,5.963688e-12
20095,108043,2025,1,1,0.17697851,0.8230214,3.7724902e-08,9.953609e-11
20096,108046,2025,0,0,0.7079453,0.29205474,7.817603e-10,7.1257176e-12
20097,108047,2025,0,0,0.8991117,0.10088831,6.008762e-11,1.0143785e-12
20098,108048,2025,0,0,0.56543756,0.43456236,1.7642069e-09,2.4926968e-11
20099,108049,2025,1,1,0.009759572,0.9902402,2.6641047e-07,9.817293e-11
20100,108050,2025,1,1,0.025818434,0.9741814,1.712967e-07,6.5339276e-11
20101,108051,2025,1,1,0.0062774634,0.9937218,7.832653e-07,5.0024174e-10
20102,108052,2025,1,1,0.0038797476,0.996119,1.2200642e-06,6.644291e-10
20103,108053,2025,1,1,0.06941534,0.9305845,1.17427895e-07,9.688004e-11
20104,108054,2025,1,1,0.008383427,0.9916157,8.8494784e-07,3.6669504e-10
20105,108055,2025,1,1,0.002860573,0.9971378,1.6125101e-06,7.8529655e-10
20106,108056,2025,1,1,0.002215012,0.9977831,1.8311459e-06,8.914565e-10
20107,108057,2025,1,1,0.0016807407,0.9983182,1.1063818e-06,8.693573e-10
20108,108060,2025,1,1,0.00070968963,0.9992902,1.2827614e-08,3.9624224e-11
20109,108062,2025,1,1,0.00048549494,0.99951446,1.1743823e-08,3.1709118e-11
20110,108063,2025,1,1,0.00042140612,0.99957854,5.7149254e-09,1.4354234e-11
20111,108064,2025,1,1,0.0006765788,0.99932337,1.7335328e-08,7.7031714e-11
20112,108065,2025,1,1,0.00041977773,0.9995802,1.6303796e-08,2.9859094e-11
20113,108066,2025,1,1,0.00043811134,0.99956185,2.3879696e-08,3.8691824e-11
20114,108067,2025,1,1,0.0007220491,0.9992779,1.1201892e-07,2.3036456e-10
20115,108068,2025,1,1,0.0018523623,0.99814737,2.525375e-07,5.4219457e-10
20116,108069,2025,1,1,0.00093649066,0.99906343,9.9743005e-08,2.8861222e-10
20117,108070,2025,1,1,0.0014684328,0.99853146,1.12722496e-07,4.8955245e-10
20118,108071,2025,1,1,0.0008333066,0.9991667,2.744878e-08,1.03333134e-10
20119,108073,2025,1,1,0.0014498214,0.9985501,2.022975e-08,1.6482422e-10
20120,108074,2025,1,1,0.0017153999,0.9982845,2.8979299e-08,2.1626369e-10
20121,108075,2025,1,1,0.0028202047,0.99717975,2.5570555e-08,2.9576575e-10
20122,108076,2025,1,1,0.001151981,0.99884796,7.0406415e-08,2.737215e-10
20123,108077,2025,1,1,0.0035724535,0.9964275,5.503363e-08,3.5783992e-10
20124,108078,2025,1,1,0.0019408548,0.998059,1.6346479e-07,5.345666e-10
20125,108079,2025,1,1,0.0042582205,0.9957417,1.1722418e-07,4.8958065e-10
20126,108080,2025,1,1,0.008095939,0.99190396,7.458964e-08,7.573831e-10
20127,108081,2025,1,1,0.023126435,0.97687346,5.1328797e-08,8.6038204e-10
20128,108082,2025,1,1,0.010383286,0.98961663,9.61494e-08,5.6938876e-10
20129,108083,2025,1,1,0.046875264,0.9531247,5.977555e-08,6.182797e-10
20130,108084,2025,0,1,0.15360181,0.84639823,5.1279287e-09,2.8671393e-10
20131,108085,2025,0,0,0.7139795,0.28602055,2.8018327e-10,6.0726014e-11
20132,108088,2025,0,0,0.7145892,0.28541088,2.577669e-10,8.739618e-11
20133,108089,2025,0,1,0.41080675,0.58919334,7.0420386e-10,1.3144438e-10
20134,108090,2025,1,1,0.07931441,0.92068565,9.348774e-09,7.641603e-10
