epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.8709916472434998,0.4994540512561798,0.001,0.923390805721283,0.27487924695014954
1,0.9079583287239075,0.3261064887046814,0.001,0.9619259238243103,0.181108295917511
2,0.9132791757583618,0.30949974060058594,0.001,0.9476694464683533,0.21158592402935028
3,0.9157541394233704,0.3014444410800934,0.001,0.9472426176071167,0.20644007623195648
4,0.9182666540145874,0.29314157366752625,0.001,0.9546013474464417,0.18917524814605713
5,0.919487476348877,0.2885018289089203,0.001,0.9495304822921753,0.18522614240646362
6,0.9375458359718323,0.22390955686569214,0.00020000001,0.9654430747032166,0.13669292628765106
7,0.9405708312988281,0.19883950054645538,0.00020000001,0.9666382074356079,0.11946191638708115
8,0.9423999786376953,0.19069480895996094,0.00020000001,0.9671333432197571,0.11967373639345169
9,0.9441624879837036,0.18476368486881256,0.00020000001,0.9619259238243103,0.12342872470617294
10,0.9442833065986633,0.1827692985534668,0.00020000001,0.9699163436889648,0.10871439427137375
11,0.9449666738510132,0.18068274855613708,0.00020000001,0.9627283811569214,0.1160435676574707
12,0.9461374878883362,0.17805500328540802,0.00020000001,0.9673894643783569,0.1068015843629837
13,0.94694584608078,0.17627942562103271,0.00020000001,0.9691821932792664,0.11138884723186493
14,0.9476875066757202,0.17361639440059662,0.00020000001,0.963957667350769,0.12214295566082001
15,0.9479374885559082,0.17200347781181335,0.00020000001,0.968191921710968,0.11583702266216278
16,0.9494875073432922,0.1700388789176941,0.00020000001,0.9668601751327515,0.11805589497089386
17,0.9575499892234802,0.14858509600162506,4.0000003e-05,0.973587155342102,0.09793111681938171
18,0.9596291780471802,0.1400316059589386,4.0000003e-05,0.9727334976196289,0.10119948536157608
19,0.9603458046913147,0.1363663375377655,4.0000003e-05,0.9753457307815552,0.08891938626766205
20,0.9606750011444092,0.13283894956111908,4.0000003e-05,0.9762506484985352,0.08455783873796463
21,0.9615041613578796,0.12888120114803314,4.0000003e-05,0.9744408130645752,0.09039047360420227
22,0.9616875052452087,0.12677757441997528,4.0000003e-05,0.9754652380943298,0.08385416865348816
23,0.961816668510437,0.12662877142429352,4.0000003e-05,0.9772067666053772,0.08194121718406677
24,0.9632166624069214,0.12206918001174927,4.0000003e-05,0.9774116277694702,0.07953700423240662
25,0.963058352470398,0.12221302092075348,4.0000003e-05,0.9735018014907837,0.08805625885725021
26,0.9634166955947876,0.12043998390436172,4.0000003e-05,0.9767799377441406,0.07780200242996216
27,0.964020848274231,0.11835017055273056,4.0000003e-05,0.9786409139633179,0.07475355267524719
28,0.9639291763305664,0.11772360652685165,4.0000003e-05,0.9773604273796082,0.07862198352813721
29,0.9642083048820496,0.11760546267032623,4.0000003e-05,0.9748335480690002,0.08353816717863083
30,0.9645583629608154,0.11631940305233002,4.0000003e-05,0.975601851940155,0.07894259691238403
31,0.9651416540145874,0.11378481984138489,4.0000003e-05,0.9757043123245239,0.08367860317230225
32,0.9671708345413208,0.10852615535259247,8.000001e-06,0.9780604243278503,0.0749664232134819
33,0.9672874808311462,0.10706236213445663,8.000001e-06,0.9781287312507629,0.07369563728570938
34,0.9678750038146973,0.10620635747909546,8.000001e-06,0.9772921204566956,0.07556892186403275
35,0.9676166772842407,0.106117382645607,8.000001e-06,0.9788287281990051,0.07442515343427658
36,0.9680041670799255,0.10528112202882767,8.000001e-06,0.978179931640625,0.07302796095609665
37,0.9680833220481873,0.10500086098909378,8.000001e-06,0.9769506454467773,0.07636391371488571
38,0.9684625267982483,0.10290718823671341,8.000001e-06,0.9774970412254333,0.07388796657323837
39,0.9686499834060669,0.10317490994930267,8.000001e-06,0.9775311350822449,0.07639353722333908
40,0.9688791632652283,0.1031217947602272,8.000001e-06,0.9775823950767517,0.07403045892715454
41,0.9689375162124634,0.1024431586265564,1.6000001e-06,0.9779067635536194,0.07199487090110779
42,0.9685916900634766,0.10296739637851715,1.6000001e-06,0.9778555631637573,0.0734572485089302
43,0.9688249826431274,0.1023414209485054,1.6000001e-06,0.9781116843223572,0.07365120947360992
44,0.9687625169754028,0.10160115361213684,1.6000001e-06,0.97857266664505,0.07215777784585953
45,0.969295859336853,0.10093896836042404,1.6000001e-06,0.9793409705162048,0.06937510520219803
46,0.9690958261489868,0.10140373557806015,1.6000001e-06,0.9782994985580444,0.07355336844921112
47,0.9692749977111816,0.10126450657844543,1.6000001e-06,0.9775311350822449,0.0744788721203804
48,0.969041645526886,0.10135268419981003,1.6000001e-06,0.9784018993377686,0.07168561965227127
49,0.9698749780654907,0.09969840943813324,1.6000001e-06,0.9784531593322754,0.07158609479665756
50,0.9697041511535645,0.10010972619056702,1e-06,0.977975070476532,0.07304298877716064
51,0.9697999954223633,0.10004900395870209,1e-06,0.9782482385635376,0.07197213917970657
52,0.9696875214576721,0.10013425350189209,1e-06,0.9779238700866699,0.0735606774687767
53,0.9696791768074036,0.10006794333457947,1e-06,0.9782140851020813,0.07306598871946335
54,0.9694958329200745,0.10030107200145721,1e-06,0.9776507019996643,0.07576082646846771
55,0.9695541858673096,0.09959404170513153,1e-06,0.9787092208862305,0.0725628212094307
