epoch,val_loss,val_accuracy,accuracy,balanced_accuracy,recall_macro,f1_macro,kappa,mcc,auc_macro_ovr,auc_micro_ovr,pseudo_r2_mcfadden,pseudo_r2_tjur_macro
1,0.29081618785858154,0.9250227212905884,0.9250227074086134,0.9003727951579892,0.9003727951579892,0.7379707591769942,0.6960879237121115,0.7112570528949688,0.9896274727660579,0.9949719630925189,0.5595060586929321,0.8507832437753677
2,0.243963822722435,0.945125162601471,0.945125190656544,0.938054219210442,0.938054219210442,0.7990096090706809,0.7693914116685726,0.7806470539318169,0.9936440255463773,0.9968085892778307,0.6763851344585419,0.8755292892456055
3,0.24028722941875458,0.9393669366836548,0.9393669345855256,0.9332320663589588,0.9332320663589588,0.8050233780557646,0.7516959845931932,0.7669603552551044,0.9938249192074199,0.9965188912113132,0.6727965772151947,0.8672628253698349
4,0.2210332602262497,0.9480557441711426,0.9480557316926873,0.9319409255584128,0.9319409255584128,0.8083274659878363,0.7795995434586316,0.789905291864595,0.9948079761968466,0.9973370943144675,0.7124550342559814,0.8744349032640457
5,0.23965959250926971,0.9422631859779358,0.9422632002879128,0.9430763969608988,0.9430763969608988,0.8099850614556475,0.761570993977561,0.7755471795916707,0.9941785976451522,0.9968208092871207,0.6712347269058228,0.8791055977344513
6,0.19914516806602478,0.9545509219169617,0.9545509074394611,0.9422320476090453,0.9422320476090453,0.8161818539092405,0.8024513892808558,0.8097636627980184,0.995448363253754,0.9980780388988478,0.7553223818540573,0.8827900439500809
7,0.26351577043533325,0.9289301037788391,0.9289300954568045,0.9299954745503887,0.9299954745503887,0.800795152282723,0.7197542146027733,0.741244675810863,0.9930731658481273,0.9954976632487771,0.6098498404026031,0.8653747886419296
8,0.21546252071857452,0.9442854523658752,0.9442854449795205,0.9391406995369804,0.9391406995369804,0.7994267493040527,0.7662050678334623,0.7776326722906819,0.9947051723054864,0.9972989969206282,0.7090393304824829,0.8837810158729553
9,0.22952598333358765,0.9447481632232666,0.9447481619852274,0.9108725967274862,0.9108725967274862,0.8079670534585875,0.7690067572522395,0.7817531296241548,0.9941050023688278,0.9968177683701427,0.6766538321971893,0.848132774233818
10,0.2752135694026947,0.9249884486198425,0.9249884320748574,0.9312881285650285,0.9312881285650285,0.7744789303202058,0.7040944713332853,0.7242788714886746,0.9924474027247036,0.995463212821094,0.5895241796970367,0.8800395578145981
11,0.1544804871082306,0.9601892232894897,0.9601891998423334,0.9111551268799676,0.9111551268799676,0.8399264275772346,0.8264877990257724,0.8342909456482235,0.9964718983129555,0.9983526411472374,0.7662311345338821,0.8690989762544632
12,0.13729043304920197,0.9614230990409851,0.9614231118575517,0.9503312174731484,0.9503312174731484,0.8517366057934459,0.8313824728703378,0.838551807282024,0.9969024990451989,0.998565090974468,0.7841639816761017,0.9031815975904465
13,0.13895174860954285,0.9612517356872559,0.9612517351887714,0.9370119958503975,0.9370119958503975,0.8511447094608375,0.830855486859337,0.8383703242596621,0.9970361026341806,0.9985308280739961,0.7799571752548218,0.8885228484869003
14,0.13213054835796356,0.9634453654289246,0.9634453565491594,0.9331026447303222,0.9331026447303222,0.8482236178408366,0.8390274082185684,0.8455241470747299,0.9970503549970957,0.9986058396927313,0.7876806408166885,0.886632427573204
15,0.13024874031543732,0.961543083190918,0.961543075525698,0.9353710635043742,0.9353710635043742,0.854287959017179,0.8323390558181165,0.8400676632485304,0.9972578728459971,0.9986206688805487,0.7869617193937302,0.8921702057123184
16,0.1459776610136032,0.9569159150123596,0.9569159054686295,0.9352488627419764,0.9352488627419764,0.8435609261194948,0.8147861905249135,0.8241428123573186,0.9967364117296498,0.998148225326427,0.7518626004457474,0.8887951076030731
17,0.13743288815021515,0.9586639404296875,0.9586639474901887,0.9511696280031456,0.9511696280031456,0.8552868285797706,0.8218230352440434,0.8307828217887107,0.9969885532121545,0.9983772387846166,0.7686404287815094,0.9042606502771378
18,0.13785508275032043,0.9580469727516174,0.9580469914825795,0.9484947662499493,0.9484947662499493,0.8498710470776142,0.8191174781864361,0.8279903712384685,0.9971295544203189,0.9984701708286831,0.7679113745689392,0.9049741476774216
19,0.12779167294502258,0.9622457027435303,0.9622457198676972,0.9604969938266937,0.9604969938266937,0.8697434550065715,0.8360834573198375,0.8442461268237202,0.9974891013512609,0.9986593611629806,0.7912138849496841,0.9120608270168304
20,0.134962260723114,0.9626913070678711,0.9626912992065261,0.9421299803315143,0.9421299803315143,0.8527104961852677,0.8365378587353609,0.8435562379232594,0.9970258028022141,0.998615929939183,0.7795542031526566,0.8979441672563553
21,0.12057039141654968,0.964970588684082,0.9649706089013041,0.9668316741894671,0.9668316741894671,0.8756157428907595,0.8465248297700281,0.8535908763493119,0.9978610364680799,0.9988711503129023,0.8098977506160736,0.9196000546216965
