epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.8648166656494141,0.5227858424186707,0.001,0.9250227212905884,0.29081618785858154
1,0.9041500091552734,0.3480295240879059,0.001,0.945125162601471,0.243963822722435
2,0.9103333353996277,0.332603394985199,0.001,0.9393669366836548,0.24028722941875458
3,0.9125666618347168,0.326251357793808,0.001,0.9480557441711426,0.2210332602262497
4,0.9134083390235901,0.3230647146701813,0.001,0.9422631859779358,0.23965959250926971
5,0.9152125120162964,0.31703683733940125,0.001,0.9545509219169617,0.19914516806602478
6,0.9154000282287598,0.3189440369606018,0.001,0.9289301037788391,0.26351577043533325
7,0.9165250062942505,0.31442970037460327,0.001,0.9442854523658752,0.21546252071857452
8,0.915945827960968,0.3120470643043518,0.001,0.9447481632232666,0.22952598333358765
9,0.9155541658401489,0.31100910902023315,0.001,0.9249884486198425,0.2752135694026947
10,0.934945821762085,0.24057994782924652,0.00020000001,0.9601892232894897,0.1544804871082306
11,0.9391875267028809,0.20992511510849,0.00020000001,0.9614230990409851,0.13729043304920197
12,0.9394708275794983,0.20242932438850403,0.00020000001,0.9612517356872559,0.13895174860954285
13,0.9420166611671448,0.19572803378105164,0.00020000001,0.9634453654289246,0.13213054835796356
14,0.9414458274841309,0.19368696212768555,0.00020000001,0.961543083190918,0.13024874031543732
15,0.9436333179473877,0.18892744183540344,0.00020000001,0.9569159150123596,0.1459776610136032
16,0.9433416724205017,0.1880805343389511,0.00020000001,0.9586639404296875,0.13743288815021515
17,0.9442333579063416,0.18578624725341797,0.00020000001,0.9580469727516174,0.13785508275032043
18,0.9443833231925964,0.18681380152702332,0.00020000001,0.9622457027435303,0.12779167294502258
19,0.9453208446502686,0.18436209857463837,0.00020000001,0.9626913070678711,0.134962260723114
20,0.9457458257675171,0.1847059577703476,0.00020000001,0.964970588684082,0.12057039141654968
21,0.9447500109672546,0.18585127592086792,0.00020000001,0.9663930535316467,0.1258489191532135
22,0.945479154586792,0.18435154855251312,0.00020000001,0.9602234959602356,0.12939982116222382
23,0.9445208311080933,0.18495574593544006,0.00020000001,0.9608747363090515,0.13304521143436432
24,0.9460374712944031,0.18278288841247559,0.00020000001,0.9588524699211121,0.13936205208301544
25,0.9535750150680542,0.1623755395412445,4.0000003e-05,0.9674727320671082,0.11214470118284225
26,0.9559333324432373,0.15370327234268188,4.0000003e-05,0.9681753516197205,0.11288278549909592
27,0.9570500254631042,0.14718511700630188,4.0000003e-05,0.9642679691314697,0.12071578204631805
28,0.9567833542823792,0.14655107259750366,4.0000003e-05,0.9641651511192322,0.12180329859256744
29,0.9577791690826416,0.1424470692873001,4.0000003e-05,0.9688094258308411,0.10528194904327393
30,0.9587666392326355,0.13942117989063263,4.0000003e-05,0.9669243097305298,0.10825535655021667
31,0.9591583609580994,0.13698159158229828,4.0000003e-05,0.9672156572341919,0.10863509029150009
32,0.9587000012397766,0.1360383927822113,4.0000003e-05,0.9658960700035095,0.1128583550453186
33,0.959470808506012,0.13347536325454712,4.0000003e-05,0.9653476476669312,0.10878042876720428
34,0.9618958234786987,0.12819518148899078,8.000001e-06,0.9691522121429443,0.10167214274406433
35,0.9619791507720947,0.12726454436779022,8.000001e-06,0.9706774353981018,0.09909570217132568
36,0.962149977684021,0.12570591270923615,8.000001e-06,0.9676954746246338,0.10365255177021027
37,0.9624999761581421,0.12512008845806122,8.000001e-06,0.9684838056564331,0.10389529913663864
38,0.9630500078201294,0.1224580630660057,8.000001e-06,0.9688265919685364,0.10125789046287537
39,0.9629708528518677,0.12263835221529007,8.000001e-06,0.9712258577346802,0.09385351091623306
40,0.9626749753952026,0.12330528348684311,8.000001e-06,0.969460666179657,0.09884287416934967
41,0.9635375142097473,0.12110471725463867,8.000001e-06,0.9685352444648743,0.09990683943033218
42,0.9635499715805054,0.1215517520904541,8.000001e-06,0.9679011702537537,0.10620154440402985
43,0.9627083539962769,0.12340390682220459,8.000001e-06,0.9687066078186035,0.10030948370695114
44,0.9641083478927612,0.11969466507434845,1.6000001e-06,0.9694778323173523,0.0987444594502449
45,0.9647250175476074,0.11815763264894485,1.6000001e-06,0.9700947999954224,0.09629834443330765
46,0.9633958339691162,0.12032721936702728,1.6000001e-06,0.9681068062782288,0.10142383724451065
47,0.9640583395957947,0.11918550729751587,1.6000001e-06,0.969135046005249,0.09900355339050293
48,0.9646750092506409,0.11784189939498901,1e-06,0.9703004360198975,0.0948815867304802
49,0.9642958045005798,0.11854492872953415,1e-06,0.9688951373100281,0.09832366555929184
