variavel,importancia
feat_16,0.2861554931811667
feat_18,0.12882293096229835
feat_24,0.09363359973073912
feat_3,0.08924243589737944
feat_12,0.051196866042005545
feat_23,0.050773591623863204
feat_2,0.03790656998237383
feat_13,0.03449531262702808
feat_17,0.0325590497569823
feat_28,0.020179987892753982
feat_19,0.018443474827403324
feat_14,0.01624236295538919
feat_1,0.014775529595431852
feat_27,0.014579859614335614
feat_22,0.014051704233130007
feat_15,0.01372158038174217
feat_21,0.012799189292202284
feat_20,0.012740853984237003
feat_26,0.005710770239068032
feat_4,0.004996191647299882
feat_10,0.004539040253232745
feat_9,0.004275533355338103
feat_0,0.0042726328957337035
feat_7,0.004127510631883475
feat_8,0.004022548981374644
feat_30,0.0036815325342350095
feat_5,0.0035208658737631584
feat_6,0.0033502274318539154
feat_25,0.0032622555695893153
feat_29,0.002770708138816608
feat_31,0.002089610317694342
feat_11,0.002035871760347219
feat_32,0.0017721993925029472
feat_33,0.0016794231471573783
feat_34,0.0015726852496475959
