variavel,cluster_a,cluster_b,n_a,n_b,U,p_raw,p_adj,significativo
ResidencialMedioPadraoVert,1,3,35757,12724,234522849.0,1.4677948030035776e-09,1.4677948030035776e-09,True
ResidencialMedioPadraoVert,1,2,35757,5848,89604113.0,5.214507727031544e-89,6.257409272437852e-89,True
ResidencialMedioPadraoVert,0,3,357524,12724,1824751108.0,0.0,0.0,True
ResidencialMedioPadraoVert,0,2,357524,5848,655551500.5,0.0,0.0,True
ResidencialMedioPadraoVert,3,2,12724,5848,30965541.0,3.217061314380584e-98,4.8255919715708764e-98,True
ValorTerrenoM2,1,0,35757,357524,10921015088.5,0.0,0.0,True
ValorTerrenoM2,1,3,35757,12724,192411443.0,1.4396298611695072e-147,1.7275558334034085e-147,True
ValorTerrenoM2,1,2,35757,5848,72542129.0,2.574870477904596e-309,3.862305716856894e-309,True
ValorTerrenoM2,0,3,357524,12724,494443045.5,0.0,0.0,True
ValorTerrenoM2,0,2,357524,5848,170870309.0,0.0,0.0,True
