variavel,cluster_a,cluster_b,n_a,n_b,media_a,media_b,t,gl_aprox,p_raw,p_adj,significativo
18a29anos,1,0,35757,357524,593.3009200995609,391.7866367013124,35.17357808653391,47447.68109478077,1.4235373796938922e-267,8.541224278163353e-267,True
18a29anos,1,3,35757,3221,593.3009200995609,1278.256907792611,-22.429143975932053,3425.5976161520293,4.5062359700203885e-104,9.012471940040778e-104,True
18a29anos,1,2,35757,5848,593.3009200995609,769.2093023255813,-9.565456943645007,6961.276297588015,1.5147562429171263e-21,1.5147562429171263e-21,True
18a29anos,0,3,357524,3221,391.7866367013124,1278.256907792611,-29.41024837200585,3251.1504576007937,8.781390534029153e-169,2.634417160208746e-168,True
18a29anos,0,2,357524,5848,391.7866367013124,769.2093023255813,-21.296019991375953,6012.866149283739,4.414810923742131e-97,6.622216385613196e-97,True
18a29anos,3,2,3221,5848,1278.256907792611,769.2093023255813,14.610681428237276,5451.671480650663,1.8761472078502583e-47,2.25137664942031e-47,True
1Baldeacao,1,0,35757,357524,7168.14378023666,9178.106530390389,-56.509362391035474,44087.78682408404,0.0,0.0,True
1Baldeacao,1,3,35757,12724,7168.14378023666,6412.941571979846,10.874685631504624,21086.11010409556,1.800146689290595e-27,2.7002200339358924e-27,True
1Baldeacao,1,2,35757,5848,7168.14378023666,6677.743307880824,4.973425057105174,7479.484516012934,6.72454651682611e-07,8.069455820191332e-07,True
1Baldeacao,0,3,357524,12724,9178.106530390389,6412.941571979846,44.79445687901917,13611.162735976855,0.0,0.0,True
1Baldeacao,0,2,357524,5848,9178.106530390389,6677.743307880824,26.790309920307003,6020.576647806086,1.8127064194842328e-149,3.6254128389684657e-149,True
1Baldeacao,3,2,12724,5848,6412.941571979846,6677.743307880824,-2.3907239765343555,11010.709357689306,0.016831886041958854,0.016831886041958854,True
2a5SalariosMinimos,1,0,35757,357524,578.4477584808569,316.1957337129815,53.85829142151436,46140.74948503563,0.0,0.0,True
2a5SalariosMinimos,1,3,35757,3221,578.4477584808569,1148.9307668425954,-24.976877719168588,3493.1692808735033,7.914041255257e-127,1.18710618828855e-126,True
2a5SalariosMinimos,1,2,35757,5848,578.4477584808569,751.5918262653898,-12.20768715578856,7261.698289880989,6.0741735999505415e-34,6.0741735999505415e-34,True
2a5SalariosMinimos,0,3,357524,3221,316.1957337129815,1148.9307668425954,-37.10433958259881,3256.848472546249,1.1635325682998395e-251,3.4905977048995187e-251,True
2a5SalariosMinimos,0,2,357524,5848,316.1957337129815,751.5918262653898,-32.170615437726624,6033.7724454844265,1.0273800816328222e-209,2.0547601632656444e-209,True
2a5SalariosMinimos,3,2,3221,5848,1148.9307668425954,751.5918262653898,15.224449663872234,5559.088202504718,2.6070841289834795e-51,3.1285009547801757e-51,True
30a39anos,1,0,35757,357524,785.77955365383,501.9111164565176,40.6769059611119,47026.051825423056,0.0,0.0,True
30a39anos,1,3,35757,3221,785.77955365383,1490.2385904998448,-22.280861095126795,3511.0919833948346,5.662701009489517e-103,8.494051514234276e-103,True
30a39anos,1,2,35757,5848,785.77955365383,1004.1206395348837,-10.50436262741418,7175.551879504482,1.2647238162204468e-25,1.2647238162204468e-25,True
30a39anos,0,3,357524,3221,501.9111164565176,1490.2385904998448,-31.8399675567357,3262.39656286428,5.755584129126259e-194,1.7266752387378778e-193,True
30a39anos,0,2,357524,5848,501.9111164565176,1004.1206395348837,-25.239874717957616,6037.016944877608,1.022864785371973e-133,2.045729570743946e-133,True
30a39anos,3,2,3221,5848,1490.2385904998448,1004.1206395348837,13.245882607431566,5841.79364976778,1.7601051155521954e-39,2.1121261386626342e-39,True
40a49anos,1,0,35757,357524,425.72079592807,271.95288148487936,45.719816464926026,44453.30767654604,0.0,0.0,True
40a49anos,1,3,35757,3221,425.72079592807,659.4212977336231,-21.060980349922147,3820.9745460999975,2.984728834059167e-93,4.4770932510887505e-93,True
40a49anos,1,2,35757,5848,425.72079592807,507.94433994528043,-9.059911598848343,7579.183740625731,1.6366217566647953e-19,1.636621756664795e-19,True
40a49anos,0,3,357524,3221,271.95288148487936,659.4212977336231,-36.26351206060913,3287.229263081171,1.6354701513831106e-242,4.9064104541493316e-242,True
40a49anos,0,2,357524,5848,271.95288148487936,507.94433994528043,-27.545195846899876,6038.516328219452,1.937696685177737e-157,3.875393370355474e-157,True
40a49anos,3,2,3221,5848,659.4212977336231,507.94433994528043,11.130228988102548,7062.995909662425,1.5428219496830717e-28,1.8513863396196859e-28,True
50a64anos,1,0,35757,357524,274.36507536985766,150.7214312885289,52.70400895019822,41722.17268688744,0.0,0.0,True
50a64anos,1,3,35757,3221,274.36507536985766,373.92704129152435,-16.781321486160504,4390.379197323317,2.6231557088607235e-61,3.934733563291085e-61,True
50a64anos,1,2,35757,5848,274.36507536985766,326.1597127222982,-8.290786558868911,7705.526122422631,1.3160030219993637e-16,1.5792036263992363e-16,True
50a64anos,0,3,357524,3221,150.7214312885289,373.92704129152435,-40.40537772814114,3308.368027447348,1.6872100503287977e-290,5.061630150986393e-290,True
50a64anos,0,2,357524,5848,150.7214312885289,326.1597127222982,-29.935868902923563,5989.243211970624,1.2872139740680166e-183,2.574427948136033e-183,True
50a64anos,3,2,3221,5848,373.92704129152435,326.1597127222982,5.969016345554028,8572.212877218106,2.4817342205031327e-09,2.4817342205031327e-09,True
5a10SalariosMinimos,1,0,35757,357524,679.5778309142266,396.70877060001567,43.58994285199469,44532.10857764296,0.0,0.0,True
5a10SalariosMinimos,1,3,35757,3221,679.5778309142266,1232.1161130083824,-19.366338688585557,3539.6664112383446,1.681397505482471e-79,2.5220962582237064e-79,True
5a10SalariosMinimos,1,2,35757,5848,679.5778309142266,871.0294972640219,-9.599768378862713,7123.16494909195,1.083635789593789e-21,1.083635789593789e-21,True
5a10SalariosMinimos,0,3,357524,3221,396.70877060001567,1232.1161130083824,-29.898891165802993,3256.6261147737964,8.958404586498698e-174,2.6875213759496093e-173,True
5a10SalariosMinimos,0,2,357524,5848,396.70877060001567,871.0294972640219,-24.84642783713221,5990.861727926676,8.687688092188646e-130,1.7375376184377293e-129,True
5a10SalariosMinimos,3,2,3221,5848,1232.1161130083824,871.0294972640219,10.711716336878155,6168.615364857996,1.5331653207756977e-26,1.8397983849308373e-26,True
AreaConstruida,1,0,35757,357524,5809.979444584277,1917.9828011546078,29.115775368337374,41312.7120581799,1.671271469562442e-184,1.0027628817374652e-183,True
AreaConstruida,1,3,35757,12724,5809.979444584277,10770.548176674001,-11.604768285015053,15341.608053052027,5.251375146772544e-31,7.877062720158816e-31,True
AreaConstruida,1,2,35757,5848,5809.979444584277,7270.602855677154,-5.1161336533928745,9127.631939950114,3.182067299499708e-07,3.1820672994997083e-07,True
AreaConstruida,0,3,357524,12724,1917.9828011546078,10770.548176674001,-21.639778646599176,12915.15124650098,4.873749605564973e-102,1.462124881669492e-101,True
AreaConstruida,0,2,357524,5848,1917.9828011546078,7270.602855677154,-20.81335636581932,6074.3634027079925,5.408674617413974e-93,1.0817349234827947e-92,True
AreaConstruida,3,2,12724,5848,10770.548176674001,7270.602855677154,7.282222602178527,18471.29935276568,3.415644272989364e-13,4.098773127587237e-13,True
AreaOcupada,1,0,35757,357524,51085.16671563372,51834.924923769126,-0.1724054401440363,52600.267085538006,0.8631194588995861,0.8631194588995861,False
AreaOcupada,1,3,35757,12724,51085.16671563372,29807.404844482302,4.471766075002409,47849.635683514876,7.775440969050633e-06,1.5550881938101266e-05,True
AreaOcupada,1,2,35757,5848,51085.16671563372,32042.569723443237,3.8675558668008168,29875.26412533785,0.00011016457341185074,0.00016524686011777613,True
AreaOcupada,0,3,357524,12724,51834.924923769126,29807.404844482302,6.817358413598202,27411.43742375264,9.465193489852276e-12,5.6791160939113655e-11,True
AreaOcupada,0,2,357524,5848,51834.924923769126,32042.569723443237,5.703669115180687,11209.886004160662,1.2022247493427566e-08,3.60667424802827e-08,True
AreaOcupada,3,2,12724,5848,29807.404844482302,32042.569723443237,-0.5628437301721996,14761.476929191313,0.5735498474663059,0.6882598169595671,False
