epoch,val_loss,val_accuracy,accuracy,balanced_accuracy,recall_macro,f1_macro,kappa,mcc,auc_macro_ovr,auc_micro_ovr,pseudo_r2_mcfadden,pseudo_r2_tjur_macro
1,0.2957693636417389,0.9160254597663879,0.916025432297647,0.8887073284848618,0.8887073284848618,0.7208109729699834,0.6671666192401439,0.6851212759974544,0.988570173855523,0.9944628460982446,0.512277364730835,0.8448342829942703
2,0.23094908893108368,0.9390413165092468,0.9390413189148429,0.9379598222828152,0.9379598222828152,0.7990760724895515,0.7491323946473879,0.7633318695651014,0.9936387061516936,0.9965649122784129,0.6597758233547211,0.8784738928079605
3,0.18928691744804382,0.953128457069397,0.9531284810885846,0.9474807262499808,0.9474807262499808,0.8233273234989934,0.7989412486292123,0.8079062532634969,0.9954402446101596,0.9978699174209059,0.7476163804531097,0.888811320066452
4,0.20871290564537048,0.9416976571083069,0.9416976572809378,0.9294359221430952,0.9294359221430952,0.7826380572795125,0.7549659671282107,0.7659298657408953,0.9940638636460999,0.9972315029354206,0.7039094865322113,0.8790304809808731
5,0.21142861247062683,0.9461362957954407,0.9461363130023479,0.9588501362492667,0.9588501362492667,0.8377573169267729,0.7774337315267033,0.7919006861246157,0.9957039069322192,0.9971483818784115,0.6910061538219452,0.8990558981895447
6,0.19862636923789978,0.9487583637237549,0.9487583760346866,0.9442059056485503,0.9442059056485503,0.8195359465096308,0.7812393097280208,0.790645838924529,0.9947206089259191,0.9974717995010929,0.7198050320148468,0.8807630687952042
7,0.24705544114112854,0.9266850352287292,0.9266850610957824,0.9421189485549344,0.9421189485549344,0.8010497889399002,0.7121742198627559,0.7340040256400997,0.9925510065599822,0.9955652556723094,0.6050049960613251,0.8784946799278259
8,0.14268866181373596,0.9591266512870789,0.9591266644958956,0.9464179340221768,0.9464179340221768,0.8536227570222362,0.8233065859001969,0.8319373133787067,0.9968752728458514,0.9983662294541351,0.7719413638114929,0.8903615176677704
9,0.13124100863933563,0.9609603881835938,0.9609603948518449,0.9438711892257976,0.9438711892257976,0.8508183711935743,0.8297740040389833,0.8373258002828682,0.9971550710154846,0.9985320113897894,0.7821350544691086,0.8942321538925171
10,0.12846362590789795,0.9600692391395569,0.9600692361741873,0.9672245928651116,0.9672245928651116,0.8678815742843773,0.8279463874411148,0.8369735506702026,0.997512201418737,0.9985933233405189,0.7829893380403519,0.9159758239984512
