Unnamed: 0,SQ,Ano,densidade_hec,ConcentracaoBOs,EstagioClusterizacao,Startups,UsoeOcupacao,EconomiaUrbana,Inovacao,MobilidadeUrbana,Usolocal,DinamicaOcupacao,SQ,Ano,EstagioClusterizacao,Predicted_Class,Class_0_Prob,Class_1_Prob,Class_2_Prob,Class_3_Prob
0,001003,2025,77.7346053932629,246120.0,1,-4772.801232161915,-37.91640350025173,1180.1156839100595,-1232.3945362315967,-96947.57038790418,-50.08424753674086,-61.41753370057619,001003,2025,1,1,0.0017437983,0.89240205,0.10585415,2.5799906e-08
1,001004,2025,77.7346053932629,77700.0,1,-4698.756746217363,-38.3183681572372,1180.1156839100595,-1190.2305954432898,-96947.57038790418,-50.31737339164775,-60.58969909409296,001004,2025,1,1,0.004275833,0.9903928,0.005331392,8.7830776e-10
2,001005,2025,77.7346053932629,29160.0,1,-4639.967786472514,-38.52365511364821,1180.1156839100595,-1192.8990894269384,-96947.57038790418,-50.51309499626635,-58.62112906721412,001005,2025,1,1,0.011484549,0.98779535,0.00072008424,2.093343e-10
3,001006,2025,223.10823402629305,2434864.0,1,-4931.442990213696,7650.988383329811,4442.828434975263,-1490.0089266180582,-96438.33974446362,7638.625599158664,-59.65542790617426,001006,2025,1,1,0.0004459937,0.9991015,0.00016268724,0.00028974877
4,001007,2025,155.33404163500688,2103312.0,1,-4967.318318239374,-37.956111816574605,4442.828434975263,-1584.4862836571983,-96765.88409323987,-49.52387180687947,-59.49438951359748,001007,2025,1,1,0.0002645315,0.9987633,4.709756e-06,0.00096752186
5,001008,2025,7.50971055060987,33367572.0,1,-4948.282122937792,32793.41056463845,4442.828434975263,-1598.0022179120542,-96645.58677942769,32782.14120388438,-56.62804851513477,001008,2025,1,1,0.001120433,0.97437185,0.00017484148,0.02433288
6,001009,2025,175.672795908004,24408.0,0,-4350.418652791646,-39.84666178636472,1180.1156839100595,-1164.819278613254,-96946.03776097127,-50.14672230888386,-60.49741139394428,001009,2025,0,0,0.7840459,0.21595365,4.6750407e-07,7.843919e-11
7,001010,2025,89.04338262793985,845100.0,1,-4895.438123249704,-38.14320246563971,-279.8595803045896,-1622.7505247613324,-97729.25501687887,-49.34151239609776,-61.71397014459013,001010,2025,1,1,0.00065217353,0.9991435,3.6832188e-07,0.00020396776
8,001011,2025,31.30755362377733,10759616.0,1,-5078.447411544032,3547.027046145012,-279.8595803045896,-1626.510903251606,-97332.5540451081,3534.3705194513354,-58.67262103460293,001011,2025,1,1,0.00019476665,0.99107015,2.3843766e-06,0.00873267
9,001012,2025,38.851740615507055,1080864.0,1,-4700.402170775544,-37.86193720871189,1180.1156839100595,-975.809652788656,-96947.673189522,-49.94728364934782,-57.6833590052872,001012,2025,1,1,0.0013936568,0.9878527,0.01075368,2.1183276e-10
