epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.8768333196640015,0.4807792901992798,0.001,0.9160254597663879,0.2957693636417389
1,0.908412516117096,0.32188212871551514,0.001,0.9390413165092468,0.23094908893108368
2,0.9138916730880737,0.30740684270858765,0.001,0.953128457069397,0.18928691744804382
3,0.9155125021934509,0.30186185240745544,0.001,0.9416976571083069,0.20871290564537048
4,0.9168166518211365,0.29778122901916504,0.001,0.9461362957954407,0.21142861247062683
5,0.9186916947364807,0.2930450737476349,0.001,0.9487583637237549,0.19862636923789978
6,0.9177666902542114,0.29387959837913513,0.001,0.9266850352287292,0.24705544114112854
7,0.9360374808311462,0.2267446666955948,0.00020000001,0.9591266512870789,0.14268866181373596
8,0.9404000043869019,0.19895456731319427,0.00020000001,0.9609603881835938,0.13124100863933563
9,0.9412875175476074,0.19139842689037323,0.00020000001,0.9600692391395569,0.12846362590789795
10,0.943149983882904,0.1841943860054016,0.00020000001,0.9623827934265137,0.12332382798194885
11,0.9449083209037781,0.1795574426651001,0.00020000001,0.9700433611869812,0.10232055187225342
12,0.9452833533287048,0.17860618233680725,0.00020000001,0.9621428847312927,0.12294077128171921
13,0.9471833109855652,0.17411231994628906,0.00020000001,0.9676612019538879,0.10937421023845673
14,0.9480166435241699,0.17247004806995392,0.00020000001,0.9614402651786804,0.1318020224571228
15,0.9498041868209839,0.16907845437526703,0.00020000001,0.9643536806106567,0.1204286441206932
16,0.9566125273704529,0.14910712838172913,4.0000003e-05,0.9695977568626404,0.10618820041418076
17,0.959862470626831,0.13911397755146027,4.0000003e-05,0.9675926566123962,0.11037365347146988
18,0.9604958295822144,0.13496799767017365,4.0000003e-05,0.9699233770370483,0.10324399173259735
19,0.9609541893005371,0.13163568079471588,4.0000003e-05,0.9685866832733154,0.10523084551095963
20,0.9627666473388672,0.12651200592517853,8.000001e-06,0.9718085527420044,0.0927734300494194
21,0.9635208249092102,0.12447220832109451,8.000001e-06,0.9717400074005127,0.09559033066034317
22,0.9640541672706604,0.12277290225028992,8.000001e-06,0.9713115692138672,0.09493977576494217
23,0.9636874794960022,0.12278605997562408,8.000001e-06,0.9714657664299011,0.09458445757627487
24,0.9642583131790161,0.12057358026504517,8.000001e-06,0.9728196859359741,0.0939166322350502
25,0.9648958444595337,0.12003019452095032,1.6000001e-06,0.9715343117713928,0.09244232624769211
26,0.9645000100135803,0.11962728947401047,1.6000001e-06,0.9735223054885864,0.09148301929235458
27,0.9641249775886536,0.12020460516214371,1.6000001e-06,0.9718770980834961,0.09272226691246033
28,0.9640250205993652,0.1204182356595993,1.6000001e-06,0.9716200232505798,0.0954313650727272
29,0.9649375081062317,0.11880981177091599,1.6000001e-06,0.9709516763687134,0.09432297945022583
30,0.9656208157539368,0.11716486513614655,1.6000001e-06,0.9732481241226196,0.08978420495986938
31,0.9649333357810974,0.11886334419250488,1.6000001e-06,0.9721341729164124,0.0944647341966629
32,0.9651333093643188,0.11739478260278702,1.6000001e-06,0.971500039100647,0.09429406374692917
33,0.9654041528701782,0.11766514182090759,1.6000001e-06,0.9721341729164124,0.09287204593420029
34,0.9650166630744934,0.11849209666252136,1.6000001e-06,0.9716371893882751,0.09489323943853378
35,0.9643416404724121,0.1195954903960228,1e-06,0.9725968837738037,0.09197667241096497
36,0.9651208519935608,0.11712652444839478,1e-06,0.9714314937591553,0.09281664341688156
37,0.9647916555404663,0.11855911463499069,1e-06,0.9714657664299011,0.0947226881980896
38,0.9652624726295471,0.116802878677845,1e-06,0.9720827341079712,0.0917649120092392
39,0.9656333327293396,0.11619213968515396,1e-06,0.9729053378105164,0.08982919901609421
40,0.9652000069618225,0.11713450402021408,1e-06,0.971345841884613,0.09372258931398392
