epoch,val_loss,val_accuracy,accuracy,balanced_accuracy,recall_macro,f1_macro,kappa,mcc,auc_macro_ovr,auc_micro_ovr,pseudo_r2_mcfadden,pseudo_r2_tjur_macro
1,0.30597832798957825,0.9263274669647217,0.9263274714017415,0.9208662550067725,0.9208662550067725,0.7678766175162801,0.7067830840485063,0.7256641764736147,0.9899800755491919,0.9947119088450208,0.5796276330947876,0.8312732428312302
2,0.28919950127601624,0.9345911145210266,0.9345910875875021,0.9318088349183078,0.9318088349183078,0.7874158424169186,0.7342915425662988,0.7504587250120106,0.9916534797184066,0.9952835997550443,0.6046290099620819,0.8586790859699249
3,0.2745746076107025,0.9444767236709595,0.9444766945535257,0.9351216006438091,0.9351216006438091,0.8061411344325145,0.768219551714519,0.7808151279674437,0.9921327885553242,0.9956091318747995,0.63070148229599,0.8609786629676819
4,0.2539018392562866,0.9425303339958191,0.9425303056172102,0.9338007596028159,0.9338007596028159,0.7910568551676507,0.7595266269960563,0.7713971375273967,0.9929502425470295,0.996589786016774,0.6719039976596832,0.8684164732694626
5,0.2421267032623291,0.9504182934761047,0.9504183028854363,0.9418867885373305,0.9418867885373305,0.8133355016092236,0.7884206916687084,0.7980562702642767,0.9935309336597155,0.9969492739848409,0.6918153464794159,0.8713899999856949
6,0.22934991121292114,0.9484035968780518,0.948403619600478,0.9387536986975948,0.9387536986975948,0.8051159751809206,0.7808368921268366,0.7909692541893636,0.9942304684142674,0.9973024482431807,0.714716762304306,0.8690903335809708
7,0.26396194100379944,0.933617889881134,0.9336178931193444,0.9245820451790853,0.9245820451790853,0.770816934798765,0.7287232936761066,0.7435633243819633,0.9916797360117418,0.9959545118088522,0.6302230656147003,0.8611821532249451
8,0.23268285393714905,0.9473450779914856,0.947345057196517,0.9394354208637106,0.9394354208637106,0.8198131301937795,0.7793751485261338,0.7917428896008032,0.993991797205027,0.9971147295403774,0.6956523954868317,0.864039346575737
9,0.22297649085521698,0.9497524499893188,0.9497524329861704,0.9423342846246041,0.9423342846246041,0.8180990855094539,0.7865404018322601,0.7968853743468209,0.994730328433463,0.9975467247703059,0.7156899869441986,0.8726233541965485
10,0.2591516971588135,0.9333788752555847,0.9333788628990951,0.9360917021503612,0.9360917021503612,0.7896737763846906,0.7312828761160637,0.7485923742279424,0.9931543426806057,0.9962973692323893,0.6290203928947449,0.8775993138551712
11,0.225646510720253,0.9476182460784912,0.9476182345910876,0.9494147399767142,0.9494147399767142,0.8210985156428774,0.7803220535344794,0.7924483686022722,0.9942603069854352,0.9973505969541541,0.704184353351593,0.8753232955932617
12,0.20553763210773468,0.9558647871017456,0.9558647771896875,0.9462302837988105,0.9462302837988105,0.8316013056850513,0.8097883374610375,0.8184667778818542,0.9950713576925657,0.9979628549054963,0.747911810874939,0.8715588599443436
13,0.22260373830795288,0.9469694495201111,0.9469694382789824,0.9374391342737516,0.9374391342737516,0.8027562807475624,0.7750407912447974,0.7852799517604789,0.994253534556083,0.9975006216637771,0.7088075876235962,0.8782089799642563
14,0.20624588429927826,0.9587331414222717,0.9587331398326788,0.9445809604701005,0.9445809604701005,0.8369691738961894,0.8204094792850354,0.8279908253437316,0.9948136506346666,0.9978338699838418,0.744754284620285,0.8649383634328842
15,0.230607271194458,0.9422742128372192,0.9422742018098003,0.9403937377876004,0.9403937377876004,0.8255081099879594,0.763583049490469,0.7796628028743531,0.9945817208154764,0.9970837808335978,0.6846626102924347,0.8725374937057495
16,0.2123439908027649,0.953525722026825,0.9535256957486768,0.9473907870850218,0.9473907870850218,0.8309026845580423,0.8012379234762725,0.8109292437796249,0.9948145682545708,0.9976394194039768,0.725401759147644,0.8774162381887436
17,0.16742655634880066,0.9608331918716431,0.9608331910534403,0.962907415535435,0.962907415535435,0.8670142306678027,0.8308810375675626,0.8398631058567172,0.9964300931515729,0.9983024999663066,0.7626425325870514,0.9016594439744949
18,0.14769838750362396,0.9619771242141724,0.9619771213932047,0.9619405446368974,0.9619405446368974,0.8706116093180731,0.835238472041666,0.8438452586857075,0.9969811917141713,0.9985515692148268,0.781737893819809,0.9090607464313507
19,0.1345788538455963,0.9667918682098389,0.9667918729725116,0.960607059708267,0.960607059708267,0.8786103440846956,0.8536484865185663,0.8602984495056566,0.9972353190103729,0.9988102421253485,0.7993575036525726,0.9056313186883926
20,0.12929224967956543,0.967235803604126,0.9672357862386888,0.9610729934879091,0.9610729934879091,0.8756750846455698,0.8553493294845835,0.8617342122867642,0.997146508277444,0.9987332520630195,0.8052258789539337,0.9007715135812759
21,0.13018718361854553,0.9653918147087097,0.9653918388253372,0.962755918234973,0.962755918234973,0.8781804497453004,0.8480964502855322,0.8551909426971919,0.9971820953998826,0.998733808696359,0.7997245043516159,0.9060197323560715
22,0.12868395447731018,0.9652040004730225,0.9652040293665699,0.9701237142308506,0.9701237142308506,0.8801744277592971,0.8477187182625362,0.855114897213068,0.9974540650339393,0.9987679855558482,0.8007113337516785,0.9146240949630737
23,0.1370806246995926,0.9580501914024353,0.9580501963462523,0.9622497950844349,0.9622497950844349,0.8637655523269925,0.8203927252094959,0.8304361873998282,0.9971539565410791,0.9984577927486898,0.7801408618688583,0.909649133682251
24,0.13268133997917175,0.9627283811569214,0.9627283592282738,0.9697708748994358,0.9697708748994358,0.8729093532054764,0.838077564467963,0.8462731708557293,0.9974762139326756,0.9986590727148346,0.7898696213960648,0.9171579480171204
25,0.12827152013778687,0.9649479389190674,0.96494792555916,0.9649961368949593,0.9649961368949593,0.875470617318842,0.8464169855068397,0.8536475335321722,0.9974358021874774,0.998722286575715,0.7994830012321472,0.9139007478952408
26,0.13620568811893463,0.964469850063324,0.9644698651186614,0.9572919575843888,0.9572919575843888,0.8754041447332117,0.8448683415243516,0.8526527713484381,0.9971321304602495,0.9985649140339397,0.7810676246881485,0.9065076261758804
27,0.13202887773513794,0.962455153465271,0.9624551818337033,0.9633648927522632,0.9633648927522632,0.8743473018919681,0.8371518094112113,0.8456757060086092,0.9974582606690681,0.9986709375024019,0.7907978743314743,0.909187987446785
