variavel,cluster,n,missings,media,mediana,desvio_padrao,p25,p75,minimo,maximo,coef_var,shapiro_p
18a29anos,1,35757,0,353.46611852224737,285.0,299.6674203284849,64.0,602.0,1.0,814.5,0.847796732488304,0.0
1Baldeacao,1,35757,0,6974.324452330658,5736.075615,5795.099014436284,2190.293017,10522.84665,0.0,20814.3720975,0.8309190451413107,0.0
2a5SalariosMinimos,1,35757,0,313.8698576502503,276.0,236.1286024402443,75.0,606.5,2.0,606.5,0.7523137271224234,0.0
30a39anos,1,35757,0,490.3470229605392,398.0,420.46219904264854,89.0,887.0,2.0,1158.0,0.8574788452962329,0.0
40a49anos,1,35757,0,287.7233408843024,221.0,247.30659613500006,42.0,507.0,0.0,690.0,0.859529141344308,0.0
50a64anos,1,35757,0,153.9059205190592,124.0,131.6364962585999,21.0,336.0,0.0,336.0,0.8553049539266974,0.0
5a10SalariosMinimos,1,35757,0,359.25045445647004,307.0,299.76376169102025,60.0,666.0,0.0,776.0,0.8344144258482553,0.0
AreaConstruida,1,35757,0,810.9688872108958,329.0,724.1159423497072,140.0,1659.5,0.0,1659.5,0.892902247877973,0.0
AreaOcupada,1,35757,0,12372.396713915723,6776.0,11891.095688721025,3654.0,18207.0,0.0,35791.5,0.9610988043526474,0.0
AreadaQuadra,1,35757,0,28562.883779205084,13966.0,31057.823455536443,7416.0,37174.0,76.0,98322.0,1.0873490119421265,0.0
Ate2SalariosMinimos,1,35757,0,109.54036971781748,82.0,89.16074423079482,27.0,230.5,0.0,230.5,0.8139532891889831,0.0
Brasileira,1,35757,0,1350.809114299298,1086.0,1139.5558538012872,217.0,2311.0,4.0,3197.0,0.8436098348302945,0.0
CA,1,35757,0,0.07301361551435558,0.0301061007957559,0.06987786872934212,0.008847600088476,0.1574117119994697,0.0,0.1574117119994697,0.9570525748804082,0.0
Caminhada,1,35757,0,17115.83942910876,14147.975037,13116.727521201094,7246.206341,22538.86469,232.73212,83910.9456,0.766350232223702,0.0
ComercioServicos,1,35757,0,4.485583242442039,3.0,4.019967147854243,1.0,10.0,0.0,10.0,0.8961972012508443,0.0
ComercioServicos_pct,1,35757,0,0.08852560337835948,0.06,0.08716946419814701,0.01,0.18,0.0,0.225,0.9846808253379951,0.0
ConcentracaoAreaVerde,1,35757,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
ConcentracaoBOs,1,35757,0,8221.533420029644,3432.0,9057.125967048329,950.0,16263.0,1.0,23398.5,1.101634634845974,0.0
ConcentracaoIES,1,35757,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
ConcentracaoPatrimonioHistorico,1,35757,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
DeslocamentoBicicleta,1,35757,0,431.25650046205254,215.21044833779428,542.5672597334756,0.0,653.114721,0.0,1789.6647999999998,1.2581080149566757,0.0
