cluster,var_x,var_y,rho,p
0,1Baldeacao,30a39anos,0.031239946783761064,6.695336020533863e-78
0,1Baldeacao,40a49anos,0.028417123385907215,8.956581269164842e-65
0,1Baldeacao,50a64anos,0.03677142564192891,3.2715401418825396e-107
0,1Baldeacao,5a10SalariosMinimos,0.050206878250406685,3.0218385178920025e-198
0,1Baldeacao,AreaConstruida,-0.21443525013619996,0.0
0,1Baldeacao,AreaOcupada,-0.015352837713176842,4.291785536015898e-20
0,1Baldeacao,AreadaQuadra,0.02896466834728992,3.181848272086912e-67
0,1Baldeacao,Ate2SalariosMinimos,-0.026872536745034058,4.0861090740780475e-58
0,1Baldeacao,Brasileira,0.034182130246417544,6.720269610851821e-93
0,1Baldeacao,CA,-0.16599910627150224,0.0
0,1Baldeacao,Caminhada,0.6638288113268489,0.0
0,1Baldeacao,ComercioServicos,-0.04122138876982343,3.018401470311582e-134
0,1Baldeacao,ComercioServicos_pct,-0.05619776542351076,6.331016117365325e-248
0,1Baldeacao,ConcentracaoAreaVerde,,
0,1Baldeacao,ConcentracaoBOs,0.0020208128068096936,0.2269288552879573
0,1Baldeacao,ConcentracaoIES,,
0,1Baldeacao,ConcentracaoPatrimonioHistorico,,
0,1Baldeacao,DeslocamentoBicicleta,0.11274474074857875,0.0
0,1Baldeacao,DeslocamentoCaminhada,0.6481567226637792,0.0
0,1Baldeacao,DeslocamentoTansporteColetivo,0.8551698512879268,0.0
0,1Baldeacao,DeslocamentoVeiculoIndividual,0.4606370574269379,0.0
0,1Baldeacao,DestinoMotivoEducacao,0.6758976572839671,0.0
0,1Baldeacao,DestinoMotivoOutros,0.39456037664686394,0.0
0,1Baldeacao,DestinoMotivoResidencia,0.6705639806119015,0.0
0,1Baldeacao,DestinoMotivoTrabalhoComercioServico,0.5513535241602199,0.0
0,1Baldeacao,DestinoMotivotrabalhoindustria,0.23584428095170437,0.0
0,1Baldeacao,DistanciaAceleradoraIncubadora,0.1801370652632768,0.0
0,1Baldeacao,DistanciaAreasVerdes,-0.024823310319224925,7.50505241001274e-50
0,1Baldeacao,DistanciaPatrimonioHistorico,0.09309692851730961,0.0
0,1Baldeacao,DistanciaStartup,0.18310081852797291,0.0
0,1Baldeacao,DistanciaTransportePublico,0.04499784404727941,2.7098471770547003e-159
0,1Baldeacao,EmpresaGrandePorte,0.05104941186411124,6.805521785572531e-205
0,1Baldeacao,EmpresaMedioPorte,0.021910288959065563,3.1894908250410226e-39
0,1Baldeacao,EmpresaPequenoPorte,0.0010850180010382043,0.5164895679262634
0,1Baldeacao,EnsinoMedioCompleto,0.09635630385522163,0.0
0,1Baldeacao,EnsinoSuperiorCompleto,0.10205825489303821,0.0
0,1Baldeacao,Estrangeira,0.047801526030441396,7.041236908999773e-180
0,1Baldeacao,Feminino,0.027880500982161747,2.0305756460781065e-62
0,1Baldeacao,FracaoIdeal,,
0,1Baldeacao,Maisde10SalariosMinimos,0.055140764004235364,9.431348307159117e-239
0,1Baldeacao,Maisde2Baldeacoes,0.6530754701850171,0.0
0,1Baldeacao,Maisde65anos,0.05327607230376683,5.3794696518151446e-223
0,1Baldeacao,Masculino,0.03655283698010118,5.798647573710081e-106
0,1Baldeacao,MestradoDoutoradoCompleto,-0.055874429899176875,4.227532368121049e-245
0,1Baldeacao,NaoMapeado,-0.09334246859579039,0.0
0,1Baldeacao,Numero_Viagens,0.6895792007697462,0.0
0,1Baldeacao,NumerodePavimentos,-0.04491284745673884,5.150065343479853e-159
0,1Baldeacao,OrigemMotivoEducacao,0.6757557558136036,0.0
0,1Baldeacao,OrigemMotivoOutros,0.5743853923928036,0.0
0,1Baldeacao,OrigemMotivoResidencia,0.7251310202469383,0.0
0,1Baldeacao,OrigemMotivoTrabalhoComercioServico,0.7377031050686189,0.0
0,1Baldeacao,OrigemMotivotrabalhoindustria,0.5310089742971642,0.0
0,1Baldeacao,OutrosUsos,-0.07981511803398568,0.0
0,1Baldeacao,OutrosUsos_pct,-0.1042771058790193,0.0
