cluster,densidade_hec_mean,densidade_hec_median,densidade_hec_std,densidade_hec_min,densidade_hec_max,Startups_mean,Startups_median,Startups_std,Startups_min,Startups_max,UsoeOcupacao_mean,UsoeOcupacao_median,UsoeOcupacao_std,UsoeOcupacao_min,UsoeOcupacao_max,EconomiaUrbana_mean,EconomiaUrbana_median,EconomiaUrbana_std,EconomiaUrbana_min,EconomiaUrbana_max,Inovacao_mean,Inovacao_median,Inovacao_std,Inovacao_min,Inovacao_max,MobilidadeUrbana_mean,MobilidadeUrbana_median,MobilidadeUrbana_std,MobilidadeUrbana_min,MobilidadeUrbana_max,Usolocal_mean,Usolocal_median,Usolocal_std,Usolocal_min,Usolocal_max,DinamicaOcupacao_mean,DinamicaOcupacao_median,DinamicaOcupacao_std,DinamicaOcupacao_min,DinamicaOcupacao_max
0,148.3525926842244,134.0,99.94277615688779,0.0,1516.0,747.5387823229407,-572.03795288529,5205.969340322114,-5311.404160148728,22239.421439922586,-46.86996022193259,-60.15015612200674,386.93090156331084,-176.92423140507242,46958.34966804028,-34.43012101806126,-2033.3346268310024,6477.1321088318,-2411.802076637433,74437.89210140887,-41.4593243524716,-373.3053959589761,1363.4884913553972,-2447.1179509222115,15435.449048827655,13167.55123086376,12407.07205393423,14462.328969213406,-10441.483941962462,38419.16506832908,-45.172491156718166,-58.32408552135813,386.00518319076946,-95.64578885310029,46949.86701546056,91.79673994006124,-59.72285032068702,1759.6303936299967,-61.74139661280178,25181.605551921293
1,97.29396289836723,79.4559792563558,93.12056992628342,0.0,2595.0,-2278.9546766211865,-3748.774814035285,3819.7946308174924,-5311.707804726849,19825.58886554848,152.69973179916022,-47.570825757328535,9390.938603744344,-215.26108378511637,1244953.2270102638,400.72941350027315,-1602.739886514055,5998.283799336437,-2412.8285025973887,74437.89210140887,-523.9228466358805,-814.3664217836657,1270.441839370913,-2447.1179509222115,19590.473875502077,-82240.58040229525,-79486.61539049145,17064.276006780783,-127762.60822331352,-58091.48945088478,148.83729994493305,-52.909513068863006,9390.962935833275,-94.0531769141566,1244953.340749394,-24.132488882006996,-59.9407122565021,4006.972395741879,-61.740890960668125,839016.4175643917
2,171.93261109095,160.0,110.10396900099929,0.0,1967.0,1963.5451162851664,720.8115941375318,4837.351427962914,-5308.314906614801,22111.85219505937,-52.582472119052106,-61.14146091573798,343.6522270587138,-139.52977172402404,20529.300859807245,-392.7511526698703,-1911.068747383766,3465.8599966702004,-2411.802076637433,18204.646848951623,1006.640542271257,650.9142472484893,1782.8604426718475,-1678.2312247566135,15519.218717574377,126426.53983727533,123447.71299798587,17716.127564527993,97791.05996014593,167861.3072557962,-48.8894952498434,-58.61765319248904,342.20484734720196,-96.05912108292873,20380.6442799666,-21.543910531908143,-60.6885668229951,850.1750767648215,-61.73864066372179,77356.44198803915
3,130.30361735465198,117.536152486058,92.56402752623681,0.0,2595.0,-494.68680146179213,-1858.9124158028467,4352.724458397914,-5311.707804726849,22600.159194089145,-29.39443290053029,-56.81311566029396,741.7757197242253,-124.85731355444278,105975.08259134604,94.25141048803192,-2028.310151278524,8189.698958160964,-2412.8285025973887,74437.89210140887,-196.31170436848274,-496.9439056166732,1209.1831646109722,-2202.4424824839,14533.107534392646,-34083.38059825815,-32424.34612395156,13498.490605770641,-58325.68259482473,-10472.21088982829,-30.174578450609104,-57.367953946411056,741.169762486735,-96.04609304758328,105968.83589396752,-33.67850309864728,-59.73794628709593,406.1946893417045,-61.7423302109515,65121.70300703221
4,156.46801485761452,157.0,107.33461972214077,0.0,798.0,5935.370915534589,8128.345858420265,4889.115515461739,-2047.8755658993357,14792.99233311556,-73.22884099788648,-72.6839786685131,9.095126513384127,-95.67490460492373,-54.68226354165616,-1347.6903666579988,-2242.168569337036,1924.9944358248624,-2411.802076637433,9040.483879871006,2034.426866492123,1963.314764284516,1136.3284597903794,-350.3483530009992,5023.7449358282765,386594.64377641666,409831.4169114785,41765.37831371296,311557.14051148656,409846.7052546019,-66.21277172028253,-67.2273303133907,6.639930969889973,-78.62814591434103,-50.3185019294005,-61.243582564864674,-61.69696206751161,0.9276590707757333,-61.738402979346574,-55.70805509829938
5,167.44767175542077,150.0,114.44687842993551,0.0,1735.02673767272,1648.2334111997197,756.8282599338681,4995.746636366442,-5307.507608095145,19113.662317270468,-48.44168181580628,-59.8199567599882,431.3766394692741,-118.5718838785298,47962.59669464867,-448.2683151215364,-2052.885704368829,3647.214644099817,-2410.473966001525,27483.135876805743,411.6897344362372,150.9085416071182,1603.5604905205194,-1678.2312247566135,15535.788834142617,64211.13323746706,63861.24177144347,15257.447317718663,38858.65481302032,94027.70631778256,-47.118904619376174,-58.735394652692136,430.84308387993764,-90.96403768638666,47949.83510686473,-43.149848816304214,-60.69502400456817,150.94348702787494,-61.73904220368236,8898.222176737483
6,172.4872290911898,159.625408332138,114.6159651818521,0.0,1967.0,2236.9927200316206,1045.413280160038,5011.876429383505,-5306.660703760951,20387.52742255404,-65.90481511870064,-65.95807521510277,173.01274045083684,-147.2953981808044,10312.254785227307,-453.30205730694905,-2071.491630104377,2772.1577382072505,-2409.8748639901446,13859.63389804186,1933.9285006930575,1219.8811166044393,2855.569697213215,-1662.6207857119878,15611.50606656512,220365.61934557103,226729.7128953746,23061.92730436742,180852.84449608604,250394.9093213181,-59.284067348737565,-61.158903136366625,172.12305650672653,-82.14460947835411,10299.060090540412,-25.269684031413398,-59.72765861771842,526.7062179766665,-61.73861763810345,23173.39476466508
