,grupo,colunas_usadas,var_exp,var_exp_acumulada
0,Startups,"['DistanciaStartup', 'concentracaoStartups']",[0.99955273],[0.99955273]
1,UsoeOcupacao,"['ValorConstrucaoM2', 'NumerodePavimentos', 'CA', 'ResidencialAltoPadraoHor', 'ResidencialAltoPadraoVert', 'ResidencialPopularHor', 'ResidencialPopularVert', 'ComercioServicos', 'ResidencialMedioPadraoHor', 'ResidencialMedioPadraoVert', 'OutrosUsos', 'Terreno', 'DistanciaPatrimonioHistorico', 'DistanciaAreasVerdes', 'ConcentracaoPatrimonioHistorico', 'DistanciaTransportePublico', 'ConcentracaoAreaVerde', 'cr_1_pct', 'cr_2_pct', 'cr_3_pct', 'cr_4_pct', 'cr_5_pct']",[0.62914453],[0.62914453]
2,EconomiaUrbana,"['18a29anos', '30a39anos', '40a49anos', '50a64anos', 'Maisde65anos', 'Ate2SalariosMinimos', '2a5SalariosMinimos', '5a10SalariosMinimos', 'Maisde10SalariosMinimos', 'EnsinoMedioCompleto', 'EnsinoSuperiorCompleto', 'MestradoDoutoradoCompleto', 'Brasileira', 'Estrangeira', 'Feminino', 'Masculino', 'EmpresaPequenoPorte', 'EmpresaMedioPorte']",[0.97770185],[0.97770185]
3,Inovacao,"['cont_aceleradora', 'ConcentracaoIES', 'DistanciaAceleradoraIncubadora']",[0.81515782],[0.81515782]
4,MobilidadeUrbana,"['DistanciaTransportePublico', 'Maisde2Baldeacoes', '1Baldeacao', 'Caminhada', 'SemBaldeacao', 'TempoMediodeViagem', 'Numero_Viagens', 'OrigemMotivoEducacao', 'OrigemMotivoOutros', 'OrigemMotivoResidencia', 'OrigemMotivoTrabalhoComercioServico', 'OrigemMotivotrabalhoindustria', 'DestinoMotivoEducacao', 'DestinoMotivoOutros', 'DestinoMotivoResidencia', 'DestinoMotivoTrabalhoComercioServico', 'DestinoMotivotrabalhoindustria', 'DeslocamentoBicicleta', 'DeslocamentoCaminhada', 'DeslocamentoTansporteColetivo', 'DeslocamentoVeiculoIndividual', 'NaoMapeado']",[0.7918947],[0.7918947]
5,Usolocal,"['ValorConstrucaoM2', 'NumerodePavimentos', 'CA', 'DistanciaPatrimonioHistorico', 'DistanciaAreasVerdes', 'ConcentracaoPatrimonioHistorico', 'ConcentracaoAreaVerde', 'cr_1_pct', 'cr_2_pct', 'cr_3_pct', 'cr_4_pct', 'cr_5_pct']",[0.84476696],[0.84476696]
6,DinamicaOcupacao,"['ResidencialAltoPadraoHor', 'ResidencialAltoPadraoVert', 'ResidencialPopularHor', 'ResidencialPopularVert', 'ComercioServicos', 'ResidencialMedioPadraoHor', 'ResidencialMedioPadraoVert', 'OutrosUsos', 'Terreno']",[0.99393404],[0.99393404]
